 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG,  Lun_Sky_Brt, sky_SNR,
***************************************************************************************************************************************************************************************
$$SOE
 1900-Dec-10 00:00, , , 09 37 53.91, +16 53 26.4,    7.417,  5.158,  1.87898776071964,-21.4861026,  117.6272,/L,   20.4839,   0.1988602,  64.947376,  -78.12836,         n.a.,    n.a.,
 1900-Dec-17 00:00, , , 09 39 20.39, +17 11 32.4,    7.274,  5.122,  1.79478895863455,-20.1067346,  124.4967,/L,   19.0262,   0.1473658,  25.371210,  -80.96517,         n.a.,    n.a.,
 1900-Dec-24 00:00, , , 09 39 22.01, +17 38 07.5,    7.124,  5.076,  1.71693836446674,-18.3394191,  131.7295,/L,   17.2005,   0.1931831,  341.53823,  -77.66821,         n.a.,    n.a.,
 1900-Dec-31 00:00, , , 09 37 55.04, +18 13 05.5,    6.968,  5.019,  1.64703672236575,-16.1795721,  139.3207,/L,   14.9991,   0.2972368,  320.94341,  -69.91031,         n.a.,    n.a.,
 1901-Jan-07 00:00, , , 09 34 59.57, +18 55 43.3,    6.807,  4.948,  1.58658925263208,-13.6666866,  147.2402,/L,   12.4366,   0.4124312,  311.33055,  -59.94042,         n.a.,    n.a.,
 1901-Jan-14 00:00, , , 09 30 39.36, +19 44 41.0,    6.643,  4.861,  1.53700607557908,-10.8046868,  155.4233,/L,    9.5547,   0.5201043,  305.74981,  -48.19471,         n.a.,    n.a.,
 1901-Jan-21 00:00, , , 09 25 03.99, +20 37 52.5,    6.476,  4.755,  1.49965882449198, -7.6242780,  163.6943,/L,    6.4542,   0.6059823,  301.93184,  -34.76665,         n.a.,    n.a.,
 1901-Jan-28 00:00, , , 09 18 31.03, +21 32 27.9,    6.310,  4.629,  1.47564262249771, -4.2357104,  171.3535,/L,    3.4632,   0.6577212,  299.01530,  -19.85655,         n.a.,    n.a.,
 1901-Feb-04 00:00, , , 09 11 24.83, +22 25 22.0,    6.244,  4.582,  1.46548274075002, -0.7902430,  173.6453,/T,    2.5537,   0.6698111,  296.59188,  -3.815969,         n.a.,    n.a.,
 1901-Feb-11 00:00, , , 09 04 12.68, +23 13 44.8,    6.364,  4.697,  1.46919601196048,  2.6120561,  167.1783,/T,    5.1437,   0.6414150,  294.43383,  12.909652,         n.a.,    n.a.,
